"x";"y"
0.0018;4.1227
0.0077;4.0049
0.0137;3.9903
0.0197;3.9832
0.0256;3.9803
0.0316;3.9759
0.0376;3.9736
0.0435;3.9705
0.0495;3.9688
0.0555;3.9652
0.0614;3.9625
0.0674;3.9596
0.0734;3.9561
0.0793;3.9509
0.0853;3.9475
0.0913;3.9431
0.0972;3.9393
0.1032;3.9356
0.1092;3.9309
0.1151;3.9262
0.1211;3.9214
0.1271;3.9167
0.133;3.912
0.139;3.9073
0.145;3.9015
0.151;3.8958
0.1569;3.8906
0.1629;3.8843
0.1689;3.8786
0.1748;3.8728
0.1808;3.8681
0.1868;3.8614
0.1927;3.8558
0.1987;3.8509
0.2047;3.8463
0.2106;3.8404
0.2166;3.8357
0.2226;3.8299
0.2285;3.8242
0.2345;3.8195
0.2405;3.8141
0.2464;3.808
0.2524;3.8032
0.2584;3.7985
0.2643;3.7928
0.2703;3.7881
0.2763;3.7838
0.2822;3.7807
0.2882;3.7759
0.2942;3.7702
0.3001;3.7655
0.3061;3.7608
0.3121;3.756
0.318;3.7513
0.324;3.7466
0.33;3.7419
0.3359;3.7361
0.3419;3.7307
0.3479;3.7267
0.3538;3.7223
0.3598;3.7183
0.3658;3.7136
0.3717;3.7088
0.3777;3.7041
0.3837;3.6994
0.3896;3.6945
0.3956;3.6879
0.4016;3.6832
0.4075;3.6785
0.4135;3.6727
0.4195;3.668
0.4254;3.6633
0.4314;3.6596
0.4374;3.6548
0.4433;3.6498
0.4493;3.6443
0.4553;3.6394
0.4612;3.6342
0.4672;3.6292
0.4732;3.6231
0.4791;3.6184
0.4851;3.6137
0.4911;3.609
0.497;3.6045
0.503;3.599
0.509;3.5946
0.5149;3.59
0.5209;3.585
0.5269;3.5794
0.5329;3.5749
0.5388;3.5702
0.5448;3.5648
0.5508;3.5597
0.5567;3.555
0.5627;3.5503
0.5687;3.5456
0.5746;3.5409
0.5806;3.5361
0.5866;3.5322
0.5925;3.5287
0.5985;3.524
0.6045;3.5193
0.6104;3.5136
0.6164;3.5099
0.6224;3.5051
0.6283;3.4986
0.6343;3.4937
0.6403;3.4889
0.6462;3.4842
0.6522;3.4795
0.6582;3.4744
0.6641;3.4701
0.6701;3.4653
0.6761;3.4594
0.682;3.4533
0.688;3.4471
0.694;3.4412
0.6999;3.4356
0.7059;3.4288
0.7119;3.421
0.7178;3.4149
0.7238;3.4085
0.7298;3.4018
0.7357;3.3945
0.7417;3.385
0.7477;3.3756
0.7536;3.3672
0.7596;3.3568
0.7656;3.3452
0.7715;3.3347
0.7775;3.3236
0.7835;3.3118
0.7894;3.2973
0.7954;3.2808
0.8014;3.2627
0.8073;3.2466
0.8133;3.2258
0.8193;3.2052
0.8252;3.1818
0.8312;3.158
0.8372;3.1309
0.8431;3.0995
0.8491;3.0709
0.8551;3.0362
0.861;3.0013
0.867;2.9572
0.873;2.9161
0.8789;2.8723
0.8849;2.8251
0.8909;2.7669
0.8968;2.7123
