"x";"y"
0.0044;4.1619
0.0111;4.1462
0.0178;4.134
0.0244;4.124
0.0311;4.1135
0.0378;4.1053
0.0445;4.0983
0.0512;4.092
0.0579;4.0867
0.0646;4.0814
0.0713;4.0751
0.078;4.0698
0.0847;4.0635
0.0914;4.0575
0.0981;4.0509
0.1048;4.0448
0.1115;4.0393
0.1182;4.032
0.1249;4.0257
0.1316;4.0193
0.1383;4.0121
0.145;4.0047
0.1517;3.9979
0.1584;3.9907
0.1651;3.983
0.1718;3.9754
0.1785;3.968
0.1852;3.9612
0.1919;3.9553
0.1986;3.9484
0.2053;3.9408
0.212;3.9337
0.2187;3.9268
0.2254;3.9208
0.2321;3.9135
0.2388;3.9092
0.2455;3.9019
0.2522;3.8965
0.2589;3.8903
0.2656;3.8838
0.2723;3.8777
0.279;3.8714
0.2857;3.8651
0.2924;3.8598
0.2991;3.8546
0.3058;3.8493
0.3125;3.844
0.3192;3.8387
0.3259;3.8335
0.3325;3.8282
0.3392;3.825
0.3459;3.8187
0.3526;3.8134
0.3593;3.8081
0.366;3.8018
0.3727;3.7966
0.3794;3.7902
0.3861;3.785
0.3928;3.7797
0.3995;3.7755
0.4062;3.7702
0.4129;3.7659
0.4196;3.7607
0.4263;3.7564
0.433;3.7493
0.4397;3.7438
0.4464;3.7385
0.4531;3.7333
0.4598;3.728
0.4665;3.7227
0.4732;3.7174
0.4799;3.7132
0.4866;3.7079
0.4933;3.7037
0.5;3.6984
0.5067;3.6931
0.5134;3.6879
0.5201;3.6826
0.5268;3.6773
0.5335;3.672
0.5402;3.6669
0.5469;3.6632
0.5536;3.6583
0.5603;3.6532
0.567;3.6498
0.5737;3.6445
0.5804;3.6413
0.5871;3.6361
0.5938;3.6324
0.6005;3.6277
0.6072;3.624
0.6139;3.6191
0.6206;3.6155
0.6273;3.611
0.634;3.6072
0.6406;3.6021
0.6473;3.5968
0.654;3.5936
0.6607;3.5885
0.6674;3.5851
0.6741;3.5822
0.6808;3.5785
0.6875;3.5734
0.6942;3.5701
0.7009;3.5649
0.7076;3.5597
0.7143;3.5565
0.721;3.5512
0.7277;3.5459
0.7344;3.5409
0.7411;3.5362
0.7478;3.5315
0.7545;3.5269
0.7612;3.5226
0.7679;3.5184
0.7746;3.5118
0.7813;3.5089
0.788;3.5036
0.7947;3.4986
0.8014;3.4934
0.8081;3.4881
0.8148;3.4822
0.8215;3.4755
0.8282;3.4702
0.8349;3.4629
0.8416;3.4566
0.8483;3.4514
0.855;3.445
0.8617;3.4377
0.8684;3.4304
0.8751;3.422
0.8818;3.4137
0.8885;3.4054
0.8952;3.3958
0.9019;3.3863
0.9086;3.3767
0.9153;3.3652
0.922;3.3526
0.9287;3.34
0.9354;3.3281
0.9421;3.3158
0.9488;3.2992
0.9554;3.2823
0.9621;3.2632
0.9688;3.2389
0.9755;3.2144
0.9822;3.1843
0.9889;3.1482
0.9956;3.1056
1.0023;3.0619
1.009;3.0093
