"x";"y"
0.0044;3.8726
0.0102;3.8458
0.0161;3.8291
0.0219;3.8184
0.0277;3.8092
0.0336;3.8021
0.0394;3.7962
0.0453;3.7898
0.0511;3.7831
0.057;3.7781
0.0628;3.7742
0.0687;3.7707
0.0745;3.7651
0.0804;3.7613
0.0862;3.7569
0.0921;3.7522
0.0979;3.7476
0.1038;3.742
0.1096;3.7384
0.1155;3.7334
0.1213;3.7282
0.1272;3.7246
0.133;3.72
0.1389;3.7159
0.1447;3.7118
0.1506;3.7072
0.1564;3.7043
0.1622;3.6999
0.1681;3.6968
0.1739;3.6926
0.1798;3.688
0.1856;3.6834
0.1915;3.6791
0.1973;3.6747
0.2032;3.6706
0.209;3.667
0.2149;3.6624
0.2207;3.6578
0.2266;3.655
0.2324;3.6507
0.2383;3.6462
0.2441;3.6429
0.25;3.6389
0.2558;3.6343
0.2617;3.6317
0.2675;3.6254
0.2734;3.6226
0.2792;3.618
0.285;3.6134
0.2909;3.6088
0.2967;3.6042
0.3026;3.6006
0.3084;3.595
0.3143;3.5924
0.3201;3.5878
0.326;3.5832
0.3318;3.5787
0.3377;3.5759
0.3435;3.5711
0.3494;3.5655
0.3552;3.5609
0.3611;3.5563
0.3669;3.5516
0.3728;3.547
0.3786;3.5424
0.3845;3.5368
0.3903;3.5312
0.3962;3.5276
0.402;3.523
0.4079;3.5194
0.4137;3.5148
0.4195;3.5102
0.4254;3.5046
0.4312;3.4989
0.4371;3.4943
0.4429;3.4897
0.4488;3.4841
0.4546;3.4789
0.4605;3.4739
0.4663;3.4693
0.4722;3.4646
0.478;3.46
0.4839;3.4554
0.4897;3.4508
0.4956;3.4442
0.5014;3.4396
0.5073;3.435
0.5131;3.4304
0.519;3.4247
0.5248;3.4199
0.5307;3.415
0.5365;3.4092
0.5424;3.4046
0.5482;3.4
0.554;3.3946
0.5599;3.3908
0.5657;3.386
0.5716;3.3795
0.5774;3.3749
0.5833;3.3693
0.5891;3.3636
0.595;3.3586
0.6008;3.3524
0.6067;3.3478
0.6125;3.3411
0.6184;3.3362
0.6242;3.3303
0.6301;3.3252
0.6359;3.3206
0.6418;3.3139
0.6476;3.3078
0.6535;3.3016
0.6593;3.295
0.6652;3.2883
0.671;3.2816
0.6768;3.2743
0.6827;3.2684
0.6885;3.2625
0.6944;3.2543
0.7002;3.2467
0.7061;3.2388
0.7119;3.2308
0.7178;3.2218
0.7236;3.2139
0.7295;3.206
0.7353;3.197
0.7412;3.1876
0.747;3.1776
0.7529;3.1667
0.7587;3.1552
0.7646;3.1458
0.7704;3.1338
0.7763;3.1216
0.7821;3.1082
0.788;3.0955
0.7938;3.0827
0.7997;3.0663
0.8055;3.0509
0.8113;3.034
0.8172;3.0161
0.823;2.9977
0.8289;2.975
0.8347;2.9562
0.8406;2.9304
0.8464;2.9068
0.8523;2.8802
0.8581;2.8481
0.864;2.8187
0.8698;2.7825
0.8757;2.7481
0.8815;2.7103
