"x";"y"
0.0026;3.9588
0.0086;3.9282
0.0146;3.9111
0.0206;3.8999
0.0266;3.8915
0.0325;3.8831
0.0385;3.8776
0.0445;3.8708
0.0505;3.8661
0.0565;3.8614
0.0624;3.8567
0.0684;3.852
0.0744;3.8473
0.0804;3.8426
0.0864;3.838
0.0923;3.8342
0.0983;3.8305
0.1043;3.8261
0.1103;3.8214
0.1162;3.8157
0.1222;3.8099
0.1282;3.8057
0.1342;3.8003
0.1402;3.7948
0.1461;3.7898
0.1521;3.7843
0.1581;3.7796
0.1641;3.776
0.1701;3.7704
0.176;3.7673
0.182;3.7618
0.188;3.7561
0.194;3.7512
0.2;3.7458
0.2059;3.7409
0.2119;3.7379
0.2179;3.7329
0.2239;3.7272
0.2298;3.7228
0.2358;3.7179
0.2418;3.7134
0.2478;3.7087
0.2538;3.7041
0.2597;3.7024
0.2657;3.6966
0.2717;3.6909
0.2777;3.6872
0.2837;3.6825
0.2896;3.6778
0.2956;3.6731
0.3016;3.6684
0.3076;3.6633
0.3136;3.6591
0.3195;3.6553
0.3255;3.6495
0.3315;3.6448
0.3375;3.6412
0.3434;3.6361
0.3494;3.6307
0.3554;3.6269
0.3614;3.6222
0.3674;3.6166
0.3733;3.6116
0.3793;3.6072
0.3853;3.6022
0.3913;3.5961
0.3973;3.5919
0.4032;3.5863
0.4092;3.5816
0.4152;3.5769
0.4212;3.5722
0.4272;3.5675
0.4331;3.5632
0.4391;3.557
0.4451;3.5513
0.4511;3.5461
0.457;3.5408
0.463;3.5351
0.469;3.5304
0.475;3.5252
0.481;3.522
0.4869;3.5164
0.4929;3.5126
0.4989;3.5068
0.5049;3.5011
0.5109;3.4964
0.5168;3.4917
0.5228;3.4859
0.5288;3.4802
0.5348;3.4755
0.5408;3.4698
0.5467;3.4651
0.5527;3.4606
0.5587;3.4556
0.5647;3.4511
0.5706;3.4462
0.5766;3.4415
0.5826;3.4361
0.5886;3.4321
0.5946;3.4266
0.6005;3.4227
0.6065;3.4164
0.6125;3.4112
0.6185;3.4065
0.6245;3.4011
0.6304;3.3971
0.6364;3.3924
0.6424;3.3882
0.6484;3.3814
0.6544;3.3762
0.6603;3.3705
0.6663;3.3647
0.6723;3.359
0.6783;3.3522
0.6842;3.3463
0.6902;3.34
0.6962;3.3343
0.7022;3.3286
0.7082;3.3219
0.7141;3.3156
0.7201;3.3077
0.7261;3.2999
0.7321;3.2925
0.7381;3.2845
0.744;3.2758
0.75;3.2674
0.756;3.259
0.762;3.2496
0.768;3.2412
0.7739;3.2297
0.7799;3.22
0.7859;3.2072
0.7919;3.1973
0.7978;3.1834
0.8038;3.1693
0.8098;3.1552
0.8158;3.1407
0.8218;3.1246
0.8277;3.1047
0.8337;3.0871
0.8397;3.0676
0.8457;3.0446
0.8517;3.022
0.8576;2.9957
0.8636;2.9679
0.8696;2.9352
0.8756;2.9039
0.8816;2.8635
0.8875;2.8229
0.8935;2.7795
0.8995;2.728
