"x";"y"
0.0052;4.1433
0.0117;4.13
0.0182;4.1175
0.0247;4.1074
0.0312;4.0987
0.0377;4.0919
0.0442;4.0857
0.0507;4.0793
0.0572;4.0731
0.0637;4.0674
0.0702;4.0612
0.0767;4.0561
0.0832;4.0499
0.0897;4.0438
0.0962;4.0384
0.1027;4.0318
0.1092;4.0267
0.1157;4.0195
0.1222;4.0139
0.1287;4.0062
0.1352;3.9996
0.1417;3.9929
0.1482;3.9858
0.1547;3.9776
0.1612;3.9709
0.1677;3.9641
0.1742;3.958
0.1807;3.951
0.1872;3.9436
0.1937;3.9366
0.2002;3.929
0.2067;3.9223
0.2132;3.9157
0.2197;3.9098
0.2262;3.9026
0.2327;3.8965
0.2392;3.8912
0.2457;3.8852
0.2522;3.8789
0.2587;3.8722
0.2652;3.8665
0.2717;3.862
0.2782;3.8554
0.2847;3.8497
0.2912;3.8442
0.2977;3.8384
0.3042;3.8333
0.3107;3.8282
0.3172;3.8231
0.3237;3.8179
0.3302;3.8128
0.3367;3.8077
0.3432;3.8026
0.3497;3.7975
0.3562;3.7924
0.3627;3.7872
0.3692;3.7819
0.3757;3.7774
0.3822;3.7719
0.3887;3.7674
0.3952;3.7627
0.4017;3.757
0.4082;3.7524
0.4147;3.7463
0.4212;3.7412
0.4277;3.7361
0.4342;3.7299
0.4407;3.7248
0.4472;3.7197
0.4537;3.7146
0.4602;3.7104
0.4667;3.7054
0.4732;3.7002
0.4797;3.6961
0.4862;3.6891
0.4927;3.6838
0.4992;3.677
0.5057;3.6746
0.5122;3.6695
0.5187;3.6644
0.5252;3.6593
0.5317;3.6542
0.5382;3.6491
0.5447;3.646
0.5512;3.6409
0.5577;3.637
0.5642;3.632
0.5707;3.6276
0.5772;3.6233
0.5837;3.6185
0.5902;3.6143
0.5967;3.6102
0.6032;3.6056
0.6097;3.601
0.6162;3.5969
0.6227;3.5928
0.6292;3.5882
0.6357;3.5847
0.6422;3.5806
0.6487;3.5775
0.6552;3.5732
0.6617;3.5693
0.6682;3.5653
0.6747;3.561
0.6812;3.556
0.6877;3.552
0.6942;3.5471
0.7007;3.5428
0.7072;3.5379
0.7137;3.5335
0.7202;3.5295
0.7267;3.5243
0.7332;3.5204
0.7397;3.5172
0.7462;3.5121
0.7527;3.5076
0.7592;3.502
0.7657;3.4978
0.7722;3.4916
0.7787;3.4876
0.7852;3.4814
0.7917;3.4752
0.7982;3.4691
0.8047;3.464
0.8112;3.4588
0.8177;3.4533
0.8242;3.4466
0.8307;3.4389
0.8372;3.4323
0.8437;3.425
0.8502;3.4178
0.8567;3.4082
0.8632;3.4004
0.8697;3.3922
0.8762;3.3841
0.8827;3.3722
0.8892;3.3605
0.8957;3.3492
0.9022;3.3348
0.9087;3.3209
0.9153;3.3041
0.9218;3.2877
0.9283;3.2693
0.9348;3.2494
0.9413;3.2233
0.9478;3.197
0.9543;3.1651
0.9608;3.1336
0.9673;3.0919
0.9738;3.0481
0.9803;3.0053

