"x";"y"
0.001;4.0274
0.0067;3.9995
0.0125;3.9737
0.0182;3.9575
0.024;3.9433
0.0297;3.9283
0.0354;3.9145
0.0412;3.9065
0.0469;3.9035
0.0526;3.8973
0.0584;3.8898
0.0641;3.8822
0.0699;3.8761
0.0756;3.8735
0.0813;3.8703
0.0871;3.8628
0.0928;3.8552
0.0985;3.8483
0.1043;3.8424
0.11;3.8333
0.1158;3.831
0.1215;3.8309
0.1272;3.8284
0.133;3.8187
0.1387;3.8132
0.1444;3.8061
0.1502;3.7985
0.1559;3.7965
0.1617;3.7931
0.1674;3.7866
0.1731;3.779
0.1789;3.7703
0.1846;3.7635
0.1904;3.7619
0.1961;3.7612
0.2018;3.7573
0.2076;3.7498
0.2133;3.743
0.219;3.7407
0.2248;3.7405
0.2305;3.733
0.2363;3.7303
0.242;3.7255
0.2477;3.7184
0.2535;3.7108
0.2592;3.7088
0.2649;3.7088
0.2707;3.7042
0.2764;3.6995
0.2822;3.6982
0.2879;3.696
0.2936;3.691
0.2994;3.6876
0.3051;3.6856
0.3108;3.6791
0.3166;3.6766
0.3223;3.6734
0.3281;3.6637
0.3338;3.6637
0.3395;3.6588
0.3453;3.6515
0.351;3.6439
0.3567;3.6405
0.3625;3.6398
0.3682;3.6398
0.374;3.6398
0.3797;3.6355
0.3854;3.6306
0.3912;3.6281
0.3969;3.6235
0.4026;3.6186
0.4084;3.6186
0.4141;3.6186
0.4199;3.6173
0.4256;3.6103
0.4313;3.608
0.4371;3.608
0.4428;3.608
0.4485;3.6033
0.4543;3.5983
0.46;3.5973
0.4658;3.5954
0.4715;3.5894
0.4772;3.5867
0.483;3.5867
0.4887;3.5867
0.4944;3.5867
0.5002;3.5836
0.5059;3.5761
0.5117;3.5761
0.5174;3.5761
0.5231;3.5761
0.5289;3.5699
0.5346;3.5662
0.5403;3.5655
0.5461;3.5655
0.5518;3.5655
0.5576;3.5655
0.5633;3.5655
0.569;3.5634
0.5748;3.5584
0.5805;3.5549
0.5862;3.5549
0.592;3.5549
0.5977;3.5549
0.6035;3.5543
0.6092;3.5469
0.6149;3.5444
0.6207;3.5442
0.6264;3.5442
0.6321;3.5442
0.6379;3.5442
0.6436;3.5388
0.6494;3.5346
0.6551;3.5336
0.6608;3.5336
0.6666;3.5336
0.6723;3.5325
0.678;3.5272
0.6838;3.5204
0.6895;3.5204
0.6953;3.5204
0.701;3.52
0.7067;3.5171
0.7125;3.5097
0.7182;3.5097
0.7239;3.5097
0.7297;3.5097
0.7354;3.5012
0.7412;3.4991
0.7469;3.4991
0.7526;3.4991
0.7584;3.4991
0.7641;3.4963
0.7698;3.49
0.7756;3.4858
0.7813;3.4858
0.7871;3.4858
0.7928;3.4845
0.7985;3.4795
0.8043;3.4752
0.81;3.4745
0.8157;3.4672
0.8215;3.4646
0.8272;3.4621
0.833;3.455
0.8387;3.454
0.8444;3.4479
0.8502;3.4385
0.8559;3.4337
0.8616;3.4327
0.8674;3.4327
0.8731;3.4289
0.8789;3.4213
0.8846;3.4138
0.8903;3.4063
0.8961;3.3987
0.9018;3.3901
0.9075;3.3775
0.9133;3.3655
0.919;3.3574
0.9248;3.3373
0.9305;3.3197
0.9362;3.3068
0.942;3.2921
0.9477;3.2635
0.9534;3.2314
0.9592;3.1912
0.9649;3.1461
0.9707;3.0726
0.9764;3.0283

