"x";"y"
0.002;4.1575
0.0073;4.1392
0.0126;4.1266
0.0178;4.1199
0.0231;4.1177
0.0284;4.1151
0.0336;4.1073
0.0389;4.0963
0.0442;4.094
0.0494;4.0917
0.0547;4.0878
0.06;4.0791
0.0653;4.0696
0.0705;4.064
0.0758;4.0614
0.0811;4.0568
0.0863;4.0501
0.0916;4.0487
0.0969;4.0443
0.1021;4.0352
0.1074;4.0252
0.1127;4.0191
0.1179;4.0168
0.1232;4.0122
0.1285;4.0076
0.1337;4.0062
0.139;4.0025
0.1443;3.9965
0.1496;3.9914
0.1548;3.9845
0.1601;3.9776
0.1654;3.9687
0.1706;3.9646
0.1759;3.961
0.1812;3.9554
0.1864;3.9485
0.1917;3.9422
0.197;3.9399
0.2022;3.9354
0.2075;3.929
0.2128;3.9251
0.218;3.9205
0.2233;3.9129
0.2286;3.9053
0.2338;3.9053
0.2391;3.9053
0.2444;3.9033
0.2497;3.8978
0.2549;3.8934
0.2602;3.8893
0.2655;3.8841
0.2707;3.8835
0.276;3.8767
0.2813;3.874
0.2865;3.87
0.2918;3.8654
0.2971;3.8628
0.3023;3.8608
0.3076;3.8546
0.3129;3.8523
0.3181;3.8455
0.3234;3.8424
0.3287;3.8416
0.3339;3.8404
0.3392;3.8366
0.3445;3.8305
0.3498;3.8281
0.355;3.8212
0.3603;3.8204
0.3656;3.8204
0.3708;3.8165
0.3761;3.8105
0.3814;3.8071
0.3866;3.8069
0.3919;3.8046
0.3972;3.798
0.4024;3.7965
0.4077;3.7965
0.413;3.7954
0.4182;3.7917
0.4235;3.7855
0.4288;3.7832
0.4341;3.7832
0.4393;3.7813
0.4446;3.7759
0.4499;3.7726
0.4551;3.7726
0.4604;3.7726
0.4657;3.7725
0.4709;3.7708
0.4762;3.7665
0.4815;3.7619
0.4867;3.7619
0.492;3.7618
0.4973;3.7549
0.5025;3.752
0.5078;3.7513
0.5131;3.7513
0.5183;3.7513
0.5236;3.7513
0.5289;3.7508
0.5342;3.7439
0.5394;3.7412
0.5447;3.7407
0.55;3.7407
0.5552;3.7386
0.5605;3.734
0.5658;3.7301
0.571;3.7301
0.5763;3.7301
0.5816;3.7301
0.5868;3.7301
0.5921;3.7301
0.5974;3.7301
0.6026;3.7296
0.6079;3.7272
0.6132;3.7203
0.6184;3.7195
0.6237;3.7195
0.629;3.7195
0.6343;3.7195
0.6395;3.7195
0.6448;3.7195
0.6501;3.7195
0.6553;3.7195
0.6606;3.7141
0.6659;3.7101
0.6711;3.7088
0.6764;3.7088
0.6817;3.7088
0.6869;3.7088
0.6922;3.7088
0.6975;3.7088
0.7027;3.7027
0.708;3.6982
0.7133;3.6982
0.7185;3.6982
0.7238;3.6982
0.7291;3.6982
0.7344;3.6942
0.7396;3.6896
0.7449;3.6876
0.7502;3.6876
0.7554;3.6876
0.7607;3.6876
0.766;3.6876
0.7712;3.6854
0.7765;3.6795
0.7818;3.677
0.787;3.677
0.7923;3.677
0.7976;3.6759
0.8028;3.669
0.8081;3.6644
0.8134;3.6637
0.8187;3.6637
0.8239;3.6601
0.8292;3.6549
0.8345;3.6531
0.8397;3.6528
0.845;3.6483
0.8503;3.6416
0.8555;3.6398
0.8608;3.6398
0.8661;3.6369
0.8713;3.6312
0.8766;3.6292
0.8819;3.6292
0.8871;3.627
0.8924;3.6211
0.8977;3.6186
0.9029;3.6186
0.9082;3.6186
0.9135;3.6178
0.9188;3.6132
0.924;3.6086
0.9293;3.6041
0.9346;3.5963
0.9398;3.5846
0.9451;3.5691
0.9504;3.5508
0.9556;3.5317
0.9609;3.5018
0.9662;3.4699
0.9714;3.4361
0.9767;3.3976
0.982;3.3523
0.9872;3.2961
0.9925;3.2185
0.9978;3.0947
