"x";"y"
0.001;3.7327
0.006;3.6899
0.0109;3.6518
0.0159;3.6224
0.0209;3.6031
0.0258;3.5857
0.0308;3.5684
0.0358;3.5525
0.0407;3.5393
0.0457;3.5284
0.0506;3.5176
0.0556;3.5072
0.0606;3.4967
0.0655;3.4901
0.0705;3.4803
0.0755;3.4752
0.0804;3.4739
0.0854;3.469
0.0904;3.4582
0.0953;3.4548
0.1003;3.4498
0.1053;3.4451
0.1102;3.4425
0.1152;3.4382
0.1201;3.4339
0.1251;3.4327
0.1301;3.4294
0.135;3.4241
0.14;3.422
0.145;3.4198
0.1499;3.4139
0.1549;3.4115
0.1599;3.4115
0.1648;3.4103
0.1698;3.4038
0.1747;3.4015
0.1797;3.4009
0.1847;3.4009
0.1896;3.399
0.1946;3.3928
0.1996;3.3906
0.2045;3.3903
0.2095;3.3862
0.2145;3.3814
0.2194;3.3796
0.2244;3.3796
0.2293;3.3796
0.2343;3.3749
0.2393;3.3695
0.2442;3.3664
0.2492;3.3662
0.2542;3.3641
0.2591;3.3601
0.2641;3.3571
0.2691;3.3541
0.274;3.3493
0.279;3.3428
0.2839;3.3425
0.2889;3.3425
0.2939;3.3392
0.2988;3.3339
0.3038;3.3319
0.3088;3.3319
0.3137;3.3301
0.3187;3.3253
0.3237;3.3212
0.3286;3.3212
0.3336;3.3212
0.3385;3.3192
0.3435;3.3139
0.3485;3.3106
0.3534;3.3106
0.3584;3.3103
0.3634;3.3038
0.3683;3.3009
0.3733;3.3
0.3783;3.2992
0.3832;3.2963
0.3882;3.2898
0.3932;3.2894
0.3981;3.2863
0.4031;3.282
0.408;3.2788
0.413;3.2788
0.418;3.2788
0.4229;3.2788
0.4279;3.2788
0.4329;3.2756
0.4378;3.2681
0.4428;3.2681
0.4478;3.2681
0.4527;3.2651
0.4577;3.2608
0.4626;3.2575
0.4676;3.2575
0.4726;3.2575
0.4775;3.2575
0.4825;3.2575
0.4875;3.2544
0.4924;3.2469
0.4974;3.2469
0.5024;3.2469
0.5073;3.2424
0.5123;3.2379
0.5172;3.2363
0.5222;3.2363
0.5272;3.2363
0.5321;3.2328
0.5371;3.2272
0.5421;3.223
0.547;3.223
0.552;3.223
0.557;3.221
0.5619;3.2159
0.5669;3.2114
0.5718;3.2097
0.5768;3.2097
0.5818;3.2097
0.5867;3.208
0.5917;3.2034
0.5967;3.1991
0.6016;3.1991
0.6066;3.1991
0.6116;3.1932
0.6165;3.1897
0.6215;3.1885
0.6264;3.1885
0.6314;3.1885
0.6364;3.1841
0.6413;3.1798
0.6463;3.1779
0.6513;3.1771
0.6562;3.1745
0.6612;3.1679
0.6662;3.1673
0.6711;3.1655
0.6761;3.1592
0.6811;3.157
0.686;3.1566
0.691;3.1553
0.6959;3.1516
0.7009;3.1457
0.7059;3.1435
0.7108;3.1373
0.7158;3.1354
0.7208;3.1354
0.7257;3.1337
0.7307;3.1274
0.7357;3.1252
0.7406;3.1195
0.7456;3.1155
0.7505;3.1118
0.7555;3.1059
0.7605;3.1037
0.7654;3.1035
0.7704;3.102
0.7754;3.0978
0.7803;3.0924
0.7853;3.09
0.7903;3.0814
0.7952;3.0744
0.8002;3.0692
0.8051;3.064
0.8101;3.0575
0.8151;3.051
0.82;3.0445
0.825;3.035
0.83;3.0262
0.8349;3.0181
0.8399;3.0053
0.8449;3.0031

